url,title,src,score,release_date,release_location,release_dates,genre,week_box_value,total_box_value,director,actor
/films/1297973,信条,https://p0.pipi.cn/mmdb/d2dad5927a30e1339e178992b293a22c6df88.png?imageView2/1/w/218/h/300,8.3,美国, 151分钟,2020-09-04中国大陆上映, 科幻  /  动作  /  剧情 ,20525.0,45623.0,克里斯托弗·诺兰 / 克里斯托弗·诺兰 / 乌迪安·贝加尔 / 约翰·帕帕席德拉,约翰·大卫·华盛顿 / 罗伯特·帕丁森 / 伊丽莎白·德比茨基 / 肯尼思·布拉纳 / 约翰·大卫·华盛顿 / 罗伯特·帕丁森 / 伊丽莎白·德比茨基 / 肯尼思·布拉纳 / 迈克尔·凯恩 / 迪宝·卡帕蒂娅 / 亚伦·泰勒-约翰逊 / 克蕾曼丝·波西 / 希米什·帕特尔 / 安德鲁·霍华德 / 尤里·科洛科利尼科夫 / 瑞驰 / 凯蒂·麦克凯布 / 丹兹尔·史密斯 / 安东尼·莫利纳利 / 乔纳森·坎普 / 马塞尔·萨巴特 / 马丁·唐文 / 贝恩·科拉科 / 亚历克斯·威克索 / 劳里·谢泼德 / 特伦特·布克斯顿 / 英格丽·玛格斯 / 卡里娜·韦尔瓦 / 马克·克雷尼克 / 菲奥娜·道里夫 / 约翰·威斯利·查特曼 / 吉米·斯达 / 杰克·卡特莫尔-斯科特 / 肖恩·艾弗里 / 杰佛逊·豪尔 / 杰里米·西奥伯德 / 凯莱布·斯比尔亚兹 / Aleksei Podlesnov / 安东尼·莫伦纳 / Alex Wexo / Ronald Pelin / 尤汉·乌尔夫萨克 / 乔什·斯图沃特 / Ivo Uukkivi / Kadrolsha Ona Carole / Julia Maria Eiben / 托尼·克里斯蒂安 / 卡斯帕·威尔伯格 / Jess Weber / 赖恩·托克 / Sebastian Carrington-Howell / 汤姆·诺兰 / Adam Cropper / Schezaad Ausman / 扬·乌斯波尔德 / 谢尔戈·瓦雷斯 / 亨里克·卡尔梅特 / John Orantes / Martin Tõnumaa / 马修·马斯登
/films/461076,紧急救援,https://p0.pipi.cn/mmdb/d2dad59206df2ae7aa3ba31a152ddc44276aa.jpg?imageView2/1/w/218/h/300,9.2,中国大陆, 134分钟,2020-12-18 08:00中国大陆上映, 剧情  /  灾难  /  动作 ,23555.0,48524.0,林超贤 / 林超贤 / 姚敏琦 / 章斌 / 李啸东,彭于晏 / 王彦霖 / 辛芷蕾 / 蓝盈莹 / 彭于晏 / 王彦霖 / 辛芷蕾 / 蓝盈莹 / 王雨甜 / 徐洋 / 陈家乐 / 李岷城 / 张景祎 / 郭晓东 / 张国强 / 魏大勋 / 刘亦淳 / 凯尔·夏皮罗 / 张峰 / 布里亚娜·刘 / 王宇泽 / 茂·孙 / 上白 / Sammy Cantu / Todd Lien / 艾米丽·欧哈娜 / Chris Yong / Dave Coyne / 朱尔斯·哈特利 / 丹尼尔·乔 / 袁福福 / Eddie Yu
/films/1319818,汉密尔顿,https://p0.pipi.cn/mmdb/d2dad5927a38d3cbae8ea3edae10febaf17fe.jpg?imageView2/1/w/218/h/300,9.2,美国, 160分钟,2020-07-03美国上映, 音乐  /  歌舞  /  历史 ,,,托马斯·凯尔 / 托马斯·凯尔 / 伯纳德·特尔西,林-曼努尔·米兰达 / 小莱斯利·奥多姆 / 戴维德·迪格斯 / 芮妮·戈兹贝里 / 林-曼努尔·米兰达 / 小莱斯利·奥多姆 / 戴维德·迪格斯 / 芮妮·戈兹贝里 / 菲莉帕·苏 / 乔纳森·格罗夫 / 克里斯·杰克逊 / 雅斯曼·塞斯·琼斯 / 奥基里特·奥诺多瓦 / 安东尼·拉莫斯 / 卡利·贝蒂奥尔 / 阿丽亚娜·德博斯 / 霍普·伊斯特布鲁克 / 西德尼·詹姆斯·哈考特 / 萨莎·赫金斯 / 伊弗雷姆·赛克斯 / 艾美·拉韦尔-兰普曼 / Austin Smith / Thayne Jasperson / Carleigh Bettiol / Andrew Chappelle / Ariana DeBose / Jon Rua / Seth Stewart / Neil Haskell / Morgan Marcell
/films/1228788,一秒钟,https://p0.pipi.cn/mmdb/d2dad5925370fa9ab43139435aba4391c0057.jpg?imageView2/1/w/218/h/300,8.6,中国大陆, 104分钟,2020-11-27中国大陆上映, 剧情 ,7001.0,13130.0,张艺谋 / 张艺谋 / 李伟 / 仓子,张译 / 刘浩存 / 范伟 / 余皑磊 / 张译 / 刘浩存 / 范伟 / 余皑磊 / 张邵勃 / 李延 / 刘云龙 / 曹瑞 / 李晓川 / 于滨 / 于洋 / 陈旭
/films/1216053,急先锋,https://p0.pipi.cn/mmdb/d2dad5925372ff87a971f7b6b6b1833d6b894.jpg?imageView2/1/w/218/h/300,8.3,中国大陆, 108分钟,2020-09-30 10:00中国大陆上映, 动作  /  冒险  /  喜剧 ,17725.0,29424.0,唐季礼 / 唐季礼 / 周惠坤 / 章斌,成龙 / 杨洋 / 艾伦 / 徐若晗 / 成龙 / 杨洋 / 艾伦 / 徐若晗 / 母其弥雅 / 朱正廷 / 楼学贤 / 郭芷妍 / 埃亚德·胡拉尼 / 杨建平 / 周斌 / 王延龙 / 王驹 / 刘亚希 / 王文强 / 凯·保罗 / 凯特·霍金斯 / Desmond Aldridge / Kamil Can Aydin / 巴雷特·科茨 / 达伦·格罗夫纳 / 埃里克·海斯 / 马铁摩 / Sayed Badreya / 布拉汉姆·艾克巴赫 / 艾萨克·费尔南德兹 / 阎论 / 孙若淇 / Mervi Koski / 托马尔·奥兹 / Mir Sarwar / 王振威 / 杰古
/films/344248,海绵宝宝：营救大冒险,https://p0.pipi.cn/mmdb/d2dad5927e10fae7aae19b284e06cca877a31.jpg?imageView2/1/w/218/h/300,6.4,"美国,韩国", 91分钟,2020-08-07美国上映, 喜剧  /  动画  /  冒险 ,,,蒂姆·希尔 / 蒂姆·希尔 / 斯皮罗·拉扎托斯 / Chelsea Spirito,汤姆·肯尼 / 劳伦斯先生 / 汤姆·肯尼 / 劳伦斯先生 / 罗杰·布帕斯 / 比尔·法格巴克 / 卡罗琳·劳伦斯 / 瑞吉·沃兹 / 克兰西·布朗 / 汤姆·肯尼 / 比尔·法格巴克 / 罗里·艾伦 / 玛丽·乔·卡特利特 / 罗杰·布帕斯 / 卡罗琳·劳伦斯 / 维罗妮卡 阿里希诺 / 蒂姆·希尔 / Robert Ambrose / Thomas Sheeter / 吉姆·麦司奇门 / 马特·贝里 / 泰勒·彼得森 / 杰克·戈尔 / Jason Maybaum / 丹尼·特乔 / 迪·布拉雷·贝克尔 / 史蒂夫·奥特曼 / 瑞吉·沃兹 / Antonio Raul Corbo / Karen Chuang / Mitch Carter / 康福特·费达克 / Wendy Cutler / Ryan Ramirez / 拉尔森·汤普森 / 小卡尔文·科多扎尔·布罗德斯 / 杰姬·戈诺 / 里克·帕斯夸隆 / 汤姆·麦克格雷斯 / Joanna Leeds / 斯科特·门维尔 / 保罗·佩普 / Juan Pope / Warren Sroka / Antonio Raul Corbo / 蒂凡尼·哈迪斯 / Stephen Apostolina / 阿什丽·贝尔 / 大卫·考吉尔 / Romy Cutler-Lengyel / Jeff Fischer / 理查德·史蒂文·霍维茨 / Joyce Kurtz / 霍普·利维 / 伊迪·米尔曼 / 米歇尔·拉夫 / 迈克尔·索里奇 / 琳娜·泽格
/films/1374364,"Supper Moment - ""Everything Is You"" Online Concert",https://p0.pipi.cn/mmdb/d2dad5927a302f50c8be2af72bc76e63bc538.jpg?imageView2/1/w/218/h/300,8.7,中国香港, 50分钟,2020-11-24中国香港上映,,,,,
/films/1468266,青春期猪头少年不会做派对女孩的梦 夜场,https://p0.pipi.cn/mmdb/25bfd6878d306d67cbc6969586d5586c09c9d.jpg?imageView2/1/w/218/h/300,8.7,日本, 122分钟,2020-02-23日本上映, 真人秀 ,,,,
/films/247294,疯狂原始人2,https://p0.pipi.cn/mmdb/d2dad592b12f2a030c7e123a551f25b4aac01.jpg?imageView2/1/w/218/h/300,9.0,美国, 96分钟,2020-11-27中国大陆上映, 喜剧  /  动画  /  冒险 ,12549.0,35299.0,乔尔·克劳福德 / 乔尔·克劳福德,艾玛·斯通 / 尼古拉斯·凯奇 / 瑞安·雷诺兹 / 凯瑟琳·基纳 / 艾玛·斯通 / 尼古拉斯·凯奇 / 瑞安·雷诺兹 / 凯瑟琳·基纳 / 彼特·丁拉基 / 克拉克·杜克 / 莱斯利·曼恩 / 郭京飞 / 林更新 / 郑恺 / 王建国 / 克劳斯·利特曼 / 乔安娜·林莉 / 凯莉·玛丽·陈 / 克里斯·桑德斯 / 兰迪·汤姆 / 乔尔·克劳福德 / 詹姆斯·雷恩 / 梅丽莎·迪斯尼 / 贾努埃尔·梅尔卡多 / 亚提米丝·帕博达尼
/films/1300746,蜡笔小新：激战！涂鸦王国和约四位勇士,https://p0.pipi.cn/mmdb/d2dad5927a30e1c696b8603bee2ea1da85e24.jpg?imageView2/1/w/218/h/300,8.3,日本, 103分钟,2020-09-11日本上映, 动画 ,,,京极尚彦 / 京极尚彦,野原新之助 / 野原广志 / 野原向日葵 / 野原小白 / 阿呆 / 吉永绿 / 上尾真澄 / 北本 / 神田鸟忍 / 深爪龙子 / 河村豹
